id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17606679,spacious apartment with a free parking,75847885,Mario,,Bijlmer-Oost,52.32177196,4.977301466,Entire home/apt,70,2,1,29/03/2017,1,2,27
5957043,Cosy apartment for 2-4 people,30922450,Alex,,Bijlmer-Oost,52.32113544,4.965789108,Entire home/apt,80,4,6,07/08/2016,0.26,1,0
3204444,Two story family house with garden.,16237594,Remco,,Bijlmer-Oost,52.31288906,4.980151237,Entire home/apt,90,5,2,06/08/2014,0.06,1,0
3905287,B&B# green oasis with free parking,16567328,Thea,,Bijlmer-Oost,52.31978425,4.962587247,Private room,59,1,94,27/03/2017,2.96,1,157
16426363,Kl. schönes sauberes Zimmer,107684763,Petra,,Bijlmer-Oost,52.32208137,4.976243649,Private room,90,1,2,26/03/2017,0.65,3,172
7131573,"Bright room, green park, arty flat!",30039084,Christiaan,,Bijlmer-Oost,52.32466336,4.974472865,Private room,50,1,76,26/03/2017,3.58,1,0
15373287,Comfy room in Amsterdam Zuid Oost!!,98208257,Nihaila,,Bijlmer-Oost,52.32375392,4.968984909,Private room,45,1,3,27/11/2016,0.56,1,0
16426076,Zimmer in Amsterdam 25 min zur City,107684763,Petra,,Bijlmer-Oost,52.32305787,4.977671258,Private room,85,1,0,,,3,136
14307719,Big & Modern Apartment Amsterdam,87437831,Ari,,Bijlmer-Oost,52.31771825,4.978720765,Entire home/apt,98,3,13,25/02/2017,2.06,1,236
16219344,Wonderful room near metro&Center 3,65918622,Hellen,,Bijlmer-Oost,52.3181105,4.97822275,Private room,59,1,24,16/03/2017,6.43,5,139
10670670,Luxery apartment near metro,54165843,Carvalho,,Bijlmer-Oost,52.31637789,4.982909355,Entire home/apt,130,5,0,,,1,0
15880862,Ajax BnB lovely house in Amsterdam Zuidoost,102976828,Ajax,,Bijlmer-Oost,52.32277003,4.962173336,Private room,50,1,3,19/12/2016,0.71,1,131
17587228,spacious apartment with a free parking,7679356,Mario,,Bijlmer-Oost,52.32321717,4.979045263,Entire home/apt,80,2,0,,,1,95
17460676,"Soulful, spacious three-room apartment with garden",1491222,Tatjana & Rogier,,Bijlmer-Oost,52.31052812,4.971338114,Entire home/apt,120,3,1,19/03/2017,1,1,322
12023314,Sunny Vintage Apartment,46224605,Ricky,,Bijlmer-Oost,52.32185125,4.974270641,Entire home/apt,99,3,27,29/03/2017,2.39,1,138
12680964,"Flat, 15min metro Amsterdam center",56894783,Lola,,Bijlmer-Oost,52.32104252,4.977695125,Private room,30,1,3,27/06/2016,0.27,1,0
16060513,Cozy room in the vibrant area of Amsterdam,96074261,Masha,,Bijlmer-Oost,52.32256252,4.972250339,Private room,50,2,1,30/12/2016,0.32,3,0
6345602,GroundFloor Appartment in Amsterdam,33050212,Claes,,Bijlmer-Oost,52.31865017,4.977307165,Entire home/apt,120,2,19,17/08/2016,0.85,1,0
16682109,Sunny and cozy room close to metro,33224022,Olmo,,Bijlmer-Oost,52.32173948,4.97852242,Private room,40,1,4,06/03/2017,1.54,1,269
2942229,An stylish room in a green area,1271678,Andrea,,Bijlmer-Oost,52.32454814,4.975968403,Private room,65,2,186,27/03/2017,5.27,1,231
12289041,Cozy room in a quiet neighborhood,12308050,Dan&Oxana,,Bijlmer-Oost,52.32378862,4.981497042,Private room,55,3,9,17/02/2017,0.78,2,332
13986172,Cosy House in quite Area,83473127,Malak,,Bijlmer-Oost,52.3133275,4.972282263,Entire home/apt,36,17,0,,,1,7
9268952,"Big apartment, 110m², 2 bedrooms, 2wc,free parking",48144218,Paul,,Bijlmer-Oost,52.32127464,4.969673062,Entire home/apt,125,2,27,05/03/2017,1.68,1,0
13054514,Comfortable light 90 sq mtr apartment with view,72273355,Marije,,Bijlmer-Oost,52.32149481,4.978443345,Entire home/apt,115,3,8,13/09/2016,0.86,2,0
16139419,Twin/Double Room in Amsterdam Zuidoost,105300814,Kerstin N,,Bijlmer-Oost,52.31778063,4.973615867,Private room,29,2,12,20/03/2017,3.4,2,22
14760407,"Nice & peaceful apt w/ garden, 20min from city ctr",92036157,Margot & Gerwin,,Bijlmer-Oost,52.3198037,4.982041119,Entire home/apt,98,2,10,12/03/2017,1.48,1,34
13711830,Amsterdam 96 m2 family Apartment,80013770,Willem And Tahirah,,Bijlmer-Oost,52.31779549,4.980784324,Entire home/apt,130,3,10,12/03/2017,1.44,1,48
10907707,Lovely room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.317601,4.985381723,Private room,40,3,67,22/03/2017,4.84,2,195
12272272,King  bed room near metro station,12308050,Dan&Oxana,,Bijlmer-Oost,52.32333428,4.977622366,Private room,58,3,16,19/03/2017,1.37,2,330
16990775,Single Room or Twin in Amsterdam Zuidoost,105300814,Kerstin N,,Bijlmer-Oost,52.31913379,4.973888995,Private room,33,2,2,19/03/2017,1.71,2,36
16761395,Susan BnB,111244373,Susan,,Bijlmer-Oost,52.32281243,4.964293317,Private room,50,1,8,19/03/2017,3.81,1,311
10860856,Nice room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31781329,4.985803255,Private room,45,3,58,27/03/2017,4.17,2,152
9038396,Nice appartment / free parking,7697086,Melanie,,Bijlmer-Oost,52.32328739,4.966810792,Entire home/apt,55,2,3,23/11/2015,0.18,1,0
17019247,Big private room near Metro station,59314690,Andrei,,Bijlmer-Oost,52.32053278,4.969337172,Private room,40,2,1,28/03/2017,1,1,13
7880299,Spacious apartment next to metro,41519829,Marly,,Bijlmer-Oost,52.32344011,4.97219054,Entire home/apt,85,2,7,29/09/2016,0.39,1,0
3522143,Quiet summer apartment,17736293,Eefje,,Bijlmer-Oost,52.32458474,4.978723905,Entire home/apt,50,3,3,04/08/2015,0.15,1,0
17820612,Studio 15 min away from the city,40095142,Nurali,,Bijlmer-Oost,52.31407825,4.976013839,Entire home/apt,53,3,0,,,1,34
17261479,"Spacious Studio, Free Parking!",116362504,Nicolas,,Bijlmer-Oost,52.32419548,4.959921548,Private room,88,1,4,20/03/2017,3.33,1,149
15970340,Spacious Apartment in the vibrant area of A'dam,96074261,Masha,,Bijlmer-Oost,52.32136927,4.972921345,Entire home/apt,400,2,0,,,3,0
17874192,Good location to center,31217090,Wang,,Bijlmer-Oost,52.32101499,4.969977296,Entire home/apt,220,1,0,,,1,166
16333022,2 double beds in seperate rooms with a nice view,47499392,Ingrid,,Bijlmer-Oost,52.32243837,4.986954806,Private room,80,2,0,,,6,255
13262666,Laid back town house with garden and terrace!,9015391,Elle,,Bijlmer-Oost,52.31946953,4.964760804,Private room,42,1,9,28/01/2017,1.11,2,0
9925265,Appartement in Amsterdam South East,51019491,Vladimir,,Bijlmer-Oost,52.32083632,4.976739857,Entire home/apt,75,2,6,19/09/2016,0.66,1,1
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416,4.961593513,Private room,45,1,20,19/03/2017,0.95,1,0
15411166,Amsterdam Bijmer appartment,37566533,Sisiya,,Bijlmer-Oost,52.32234316,4.976226248,Entire home/apt,120,2,13,19/03/2017,2.67,1,33
16557956,Nice Private Room double bed very close to metro,109033470,Inrico,,Bijlmer-Oost,52.32383606,4.962745099,Private room,30,1,16,17/03/2017,6.15,1,120
16200584,Wonderful room near metro&Center 2,65918622,Hellen,,Bijlmer-Oost,52.31742247,4.979264462,Private room,59,1,20,13/03/2017,5.31,5,177
15279131,"Spacius apartment 6 persons, nearby A'dam Centre",12408483,Leon,,Bijlmer-Oost,52.32096123,4.968786703,Entire home/apt,180,1,12,12/03/2017,1.98,1,7
5362748,Great room south of Amsterdam!,27800005,Edzo,,Bijlmer-Oost,52.32263415,4.960662733,Private room,45,2,22,13/03/2017,1.05,1,133
15938312,En-suite room Amsterdam (35M2) - Bicycle included!,24314617,Jorim,,Bijlmer-Oost,52.32662709,4.967870471,Private room,40,30,0,,,2,211
15838026,Spacious one/two bedroom Apartment,3810566,Roberto,,Bijlmer-Oost,52.3165473,4.969489673,Entire home/apt,70,1,9,25/03/2017,1.86,1,43
14884660,Laid back splitlevel townhouse with garden,9015391,Elle,,Bijlmer-Oost,52.317973,4.965312088,Entire home/apt,89,3,1,27/10/2016,0.19,2,69
11650989,Cozy 2-pers private bedroom.,32981372,Cherana & Giovanni,,Bijlmer-Oost,52.31524819,4.976901011,Private room,45,1,43,27/11/2016,3.43,1,113
4402514,"12,5m2 privet room in a nice flat",22670971,Ara,,Bijlmer-Oost,52.32075381,4.975741187,Private room,30,7,27,13/09/2016,0.93,1,99
15780868,"sleep in mid of nature, near everything 6/8 pers.",47499392,Ingrid,,Bijlmer-Oost,52.32079153,4.98677528,Entire home/apt,150,2,3,19/03/2017,0.6,6,248
16669922,Spacious apartment 15 min from center by metro!,110272181,Fon,,Bijlmer-Oost,52.32225603,4.972499879,Entire home/apt,205,2,0,,,1,15
16426504,Couchsleeper in Living Room,107684763,Petra,,Bijlmer-Oost,52.32283681,4.977616494,Shared room,65,1,0,,,3,176
15977029,One bedroom available 11m2 in Zuidoost,82025727,Loulou,,Bijlmer-Oost,52.31734065,4.968334699,Private room,50,1,5,01/01/2017,1.12,1,32
13993768,Spacious appartement near metro,46062643,Jeff,,Bijlmer-Oost,52.31943127,4.978261361,Entire home/apt,74,1,11,05/03/2017,1.28,1,0
10662701,Modern apartment close to the city!,19214363,Samantha,,Bijlmer-Oost,52.31535253,4.981119584,Entire home/apt,100,3,4,31/05/2016,0.29,1,0
16915340,Wonderful room in front of metro station,1179604,NicoAntoine,,Bijlmer-Oost,52.31773755,4.979945211,Private room,35,1,13,30/03/2017,5.91,1,5
17941656,A Very Fantastic Room In Amsterdam,83915876,Hla,,Bijlmer-Oost,52.32431053,4.969744404,Private room,30,1,0,,,1,1
17615037,Nice 2 room apartment Amsterdam,119750117,Humphrey,,Bijlmer-Oost,52.32143776,4.964122388,Entire home/apt,90,3,0,,,1,61
2508498,Comfortable  room for 1 or 2 people,12839939,Astrid,,Bijlmer-Oost,52.3258179,4.98084748,Private room,60,1,6,18/08/2015,0.17,1,345
12508971,Big appartment (room),67741277,Kevin,,Bijlmer-Oost,52.32246448,4.971780573,Private room,35,14,0,,,1,0
15818103,2 privat rooms with park arround for 4,47499392,Ingrid,,Bijlmer-Oost,52.32133418,4.988188385,Private room,75,2,7,27/03/2017,1.49,6,261
9880934,New apartment with free parking,50834579,Kate,,Bijlmer-Oost,52.31828064,4.978512979,Entire home/apt,65,360,14,01/12/2016,0.92,1,182
11684742,Studio in Amsterdam 15 min from center,24651625,Peter,,Bijlmer-Oost,52.31892464,4.978956258,Entire home/apt,50,1,68,17/03/2017,5.38,2,210
14950157,Nice house near Ajax Arena Stadion,94089877,Ajaxarena,,Bijlmer-Oost,52.32261005,4.964285937,Private room,50,1,10,08/01/2017,1.56,1,136
15235602,Cosy Studio/Apartment AMSTERDAM - Free parking,73083644,Mario,,Bijlmer-Oost,52.31956588,4.977610504,Entire home/apt,75,1,7,08/01/2017,1.42,1,164
